Trimestre;Sentido transacción;Zona geográfica;Evolución trimestral del volumen de negocio (€)
2013T4;Dentro de España;Dentro de España;1445470284,22
2013T4;Desde el exterior con España;América Latina;37855269,99
2013T4;Desde el exterior con España;Asia Pacífico;23195308,45
2013T4;Desde el exterior con España;C.E.M.E.A.;37051823,4
2013T4;Desde el exterior con España;Estados Unidos;23523691,34
2013T4;Desde el exterior con España;Resto;7936232,76
2013T4;Desde el exterior con España;Unión Europea;364563229,43
2013T4;Desde España con el exterior;América Latina;5669593,94
2013T4;Desde España con el exterior;Asia Pacífico;26225304,11
2013T4;Desde España con el exterior;C.E.M.E.A.;52825325,74
2013T4;Desde España con el exterior;Estados Unidos;63867361,71
2013T4;Desde España con el exterior;Resto;6642835,52
2013T4;Desde España con el exterior;Unión Europea;1337294373,04
2014T1;Dentro de España;Dentro de España;1446901779,12
2014T1;Desde el exterior con España;América Latina;37411749,05
2014T1;Desde el exterior con España;Asia Pacífico;27743329,48
2014T1;Desde el exterior con España;C.E.M.E.A.;49543798,37
2014T1;Desde el exterior con España;Estados Unidos;29192898,23
2014T1;Desde el exterior con España;Resto;10084280,58
2014T1;Desde el exterior con España;Unión Europea;449447460,12
2014T1;Desde España con el exterior;América Latina;5493391,96
2014T1;Desde España con el exterior;Asia Pacífico;22875441,96
2014T1;Desde España con el exterior;C.E.M.E.A.;60777664,78
2014T1;Desde España con el exterior;Estados Unidos;64755166,12
2014T1;Desde España con el exterior;Resto;7513940,65
2014T1;Desde España con el exterior;Unión Europea;1366990529,02
2014T2;Dentro de España;Dentro de España;1648052110,56
2014T2;Desde el exterior con España;América Latina;44661133,08
2014T2;Desde el exterior con España;Asia Pacífico;29516374,78
2014T2;Desde el exterior con España;C.E.M.E.A.;55635344,67
2014T2;Desde el exterior con España;Estados Unidos;34313497,64
2014T2;Desde el exterior con España;Resto;11474617,32
2014T2;Desde el exterior con España;Unión Europea;482750430,89
2014T2;Desde España con el exterior;América Latina;5784610,74
2014T2;Desde España con el exterior;Asia Pacífico;20046951,46
2014T2;Desde España con el exterior;C.E.M.E.A.;69036146,4
2014T2;Desde España con el exterior;Estados Unidos;64704079,78
2014T2;Desde España con el exterior;Resto;8465485,27
2014T2;Desde España con el exterior;Unión Europea;1419018545,25
2014T3;Dentro de España;Dentro de España;1747089645,07
2014T3;Desde el exterior con España;América Latina;46582542,38
2014T3;Desde el exterior con España;Asia Pacífico;32183514,64
2014T3;Desde el exterior con España;C.E.M.E.A.;56507105,22
2014T3;Desde el exterior con España;Estados Unidos;40410798,24
2014T3;Desde el exterior con España;Resto;11064421,53
2014T3;Desde el exterior con España;Unión Europea;529761584,15
2014T3;Desde España con el exterior;América Latina;6427392,07
2014T3;Desde España con el exterior;Asia Pacífico;22639258,21
2014T3;Desde España con el exterior;C.E.M.E.A.;66742890,66
2014T3;Desde España con el exterior;Estados Unidos;70360940,88
2014T3;Desde España con el exterior;Resto;8060255,23
2014T3;Desde España con el exterior;Unión Europea;1464960069,42
2014T4;Dentro de España;Dentro de España;1773404404,68
2014T4;Desde el exterior con España;América Latina;47933328,48
2014T4;Desde el exterior con España;Asia Pacífico;34390597,15
2014T4;Desde el exterior con España;C.E.M.E.A.;37218279,65
2014T4;Desde el exterior con España;Estados Unidos;43654221,47
2014T4;Desde el exterior con España;Resto;9740544,19
2014T4;Desde el exterior con España;Unión Europea;485330572,97
2014T4;Desde España con el exterior;América Latina;6417182,44
2014T4;Desde España con el exterior;Asia Pacífico;22701811,73
2014T4;Desde España con el exterior;C.E.M.E.A.;68301598,53
2014T4;Desde España con el exterior;Estados Unidos;72883418,83
2014T4;Desde España con el exterior;Resto;7653098,31
2014T4;Desde España con el exterior;Unión Europea;1706658238,52
2015T1;Dentro de España;Dentro de España;1736934050,81
2015T1;Desde el exterior con España;América Latina;63515186,95
2015T1;Desde el exterior con España;Asia Pacífico;39775674,57
2015T1;Desde el exterior con España;C.E.M.E.A.;50117474,22
2015T1;Desde el exterior con España;Estados Unidos;61302063,83
2015T1;Desde el exterior con España;Resto;12327640,8
2015T1;Desde el exterior con España;Unión Europea;582849088,29
2015T1;Desde España con el exterior;América Latina;6959898,49
2015T1;Desde España con el exterior;Asia Pacífico;20655903,59
2015T1;Desde España con el exterior;C.E.M.E.A.;76775575,7
2015T1;Desde España con el exterior;Estados Unidos;79033100,87
2015T1;Desde España con el exterior;Resto;8923127,82
2015T1;Desde España con el exterior;Unión Europea;1716506983,91
2015T2;Dentro de España;Dentro de España;1989895896,18
2015T2;Desde el exterior con España;América Latina;72833644,3
2015T2;Desde el exterior con España;Asia Pacífico;49828619,35
2015T2;Desde el exterior con España;C.E.M.E.A.;60655583,97
2015T2;Desde el exterior con España;Estados Unidos;75817635,59
2015T2;Desde el exterior con España;Resto;15521489,71
2015T2;Desde el exterior con España;Unión Europea;686205811,92
2015T2;Desde España con el exterior;América Latina;6503494,3
2015T2;Desde España con el exterior;Asia Pacífico;22378329,93
2015T2;Desde España con el exterior;C.E.M.E.A.;67211308,46
2015T2;Desde España con el exterior;Estados Unidos;81823026,82
2015T2;Desde España con el exterior;Resto;8683707,19
2015T2;Desde España con el exterior;Unión Europea;1808499029,33
2015T3;Dentro de España;Dentro de España;2182210947,5
2015T3;Desde el exterior con España;América Latina;72297014,86
2015T3;Desde el exterior con España;Asia Pacífico;43789422,6
2015T3;Desde el exterior con España;C.E.M.E.A.;60730131,34
2015T3;Desde el exterior con España;Estados Unidos;69087883,96
2015T3;Desde el exterior con España;Resto;16000710,2
2015T3;Desde el exterior con España;Unión Europea;754844906,25
2015T3;Desde España con el exterior;América Latina;6803155,77
2015T3;Desde España con el exterior;Asia Pacífico;24243123,73
2015T3;Desde España con el exterior;C.E.M.E.A.;44208896,18
2015T3;Desde España con el exterior;Estados Unidos;83418358,64
2015T3;Desde España con el exterior;Resto;6713387,2
2015T3;Desde España con el exterior;Unión Europea;1938236588,54
2015T4;Dentro de España;Dentro de España;2196768574,99
2015T4;Desde el exterior con España;América Latina;69312191,44
2015T4;Desde el exterior con España;Asia Pacífico;31857580,53
2015T4;Desde el exterior con España;C.E.M.E.A.;42711650,46
2015T4;Desde el exterior con España;Estados Unidos;51475985,46
2015T4;Desde el exterior con España;Resto;11649196,23
2015T4;Desde el exterior con España;Unión Europea;565700071,05
2015T4;Desde España con el exterior;América Latina;10601275,47
2015T4;Desde España con el exterior;Asia Pacífico;21825225,13
2015T4;Desde España con el exterior;C.E.M.E.A.;40408744,12
2015T4;Desde España con el exterior;Estados Unidos;81987615,79
2015T4;Desde España con el exterior;Resto;7712361,61
2015T4;Desde España con el exterior;Unión Europea;2177137583,99
2016T1;Dentro de España;Dentro de España;2176314899,74
2016T1;Desde el exterior con España;América Latina;56072150,96
2016T1;Desde el exterior con España;Asia Pacífico;32475956,24
2016T1;Desde el exterior con España;C.E.M.E.A.;59358101,77
2016T1;Desde el exterior con España;Estados Unidos;56369450,07
